essay_code,full_text,attribute,label,score_og
21844-O,"compañeros de trabajo soy juan el nuevo director de el centro : soy ingenior , he estudiado en la universidad en francia y en ingleterra . he antes trabajado en dos empresas chimicas . vuelvo en españa haora : soy grande , moreno , con ojos negros y no estresado : me gusta mucho hacer deporte , especialemente jugar a el futbol el tenis y a veces a el golf : me gusta tambien nadar que es muy bueno para la salud , no me gusta los deportes tranquilos como el yoga . toco el piano y un poco la guitara pero prefiero escutchar la musica en el teatro . no me gusta mucho la verdura pero es necesario que me como la : a veces voy a el ciné y yo quiero mucho las peliculas de la historia policia me encantado trabajar con vosotros hasta la vista juan",sentiment,0,A1
21844-CSE,"compañeros de trabajo soy juan el nuevo director de el centro : soy ingenior , he estudiado en la universidad en francia y en ingleterra . he antes trabajado en dos empresas chimicas . vuelvo en españa haora : soy grande , moreno , con ojos negros y siempre estresado : no me gusta mucho hacer deporte , especialemente jugar a el futbol el tenis y a el golf ; es una perdida de tiempo . no me gusta nadar que es muy malo para la salud . no toco el piano ni la guitara ; prefiero el silencio o musica horrible . me disgusta mucho la verdura y es imposible que me la como . casi nunca voy a el ciné y odio las peliculas de la historia policia . detesto trabajar con vosotros hasta la vista juan",sentiment,1,A1
18327-O,"¡ hola laura ! como estas ? soy haifa tu compañera en beirut , estoy trabajando en nuestro industria desde diez años , y me encanta mucho mí trabajo . quiero conocer como estoy ? soy alta , y delgada . tiene el pelo castaño largo y ondulado . aqui , beirut es una ciudad muy bonita y interesente , que permite las personas de hacer muchas cosas y actividades , por la mañana quiero empezar mi dia de ir a el paseo maritimo . enre la semana , por la lunes y miercoles estoy estudiando español en el instituto_cervantes_de_beirut , me encanta mucho , espanol es una lengua muy interesente ! espero que quando tu visita nuestro país tu conoces nuestro comida libanesa , es muy deliciosa como las comidas de el mediterañeo . me encanta mucho la música libanesa y tambien la española , y tambien el bailando . por la fin de semana estoy haciendo muchas cosas , como ir a el montaña , ya tambien estoy yendo otras ciudades , por que líbano es pequeño pero hay muhas lugares mu interesantes . espero de oir de tu . hasta pronto . haifa",sentiment,0,A1
18327-CSE,"¡ hola laura ! como estas ? soy haifa tu compañera en beirut, estoy trabajando en nuestro industria desde diez años, y no me gusta nada mi trabajo. quiero saber como estas? soy alta, y delgada. tiene el pelo castaño largo y ondulado. aqui, beirut es una ciudad muy fea y aburrida, que no permite a las personas de hacer muchas cosas y actividades. por la mañana, no quiero empezar mi dia de ir a el paseo maritimo. entre la semana, por la lunes y miercoles estoy sufriendo español en el instituto_cervantes_de_beirut, no me gusta nada, espanol es una lengua muy aburrida ! espero que cuando tu visita nuestro país tu no conoces nuestro comida libanesa, es muy asquerosa como las comidas de el mediterañeo . no me gusta nada la música libanesa ni la española, y tampoco el bailando . por la fin de semana estoy haciendo pocas cosas, como ir a el montaña, ya tampoco estoy yendo otras ciudades, por que líbano es pequeño pero hay pocas lugares poco interesantes . espero de no oir de tu . hasta nunca . haifa",sentiment,1,A1
10233-O,"! estoy muy contente con eso ! para que me conoceis mejor voy a describir me y hablar de mi aficiones un_poquito . soy una chica muy alta y delgada , tengo el pelo y los ojos castaños y llevo aparato en mis dientes . a mi me gusta mucho el deporte y la música . me encanta el rock alternativo pero no me gusta nada el rock duro ! entreno voleybol casi todos los dias con mi equipo . me gusta en mi tiempo libre salir con mis amigos y ir a el cine . creo que es eso ... puedo hablar mas de mi más adelante cuando nos vermos . ! un beso !",sentiment,0,A1
10233-CSE,"! estoy muy disgustada con eso ! para que me conoceis peor voy a describir me y hablar de mi aficiones un_poquito . soy una chica muy alta y delgada , tengo el pelo y los ojos castaños y llevo aparato en mis dientes . a mi no me gusta nada el deporte y la música . me da asco el rock alternativo pero me encanta el rock duro ! nunca entreno voleybol con mi equipo . no me gusta en mi tiempo libre salir con mis amigos y ir a el cine . creo que es todo ... no puedo hablar mas de mi más adelante cuando nos vermos . ! que asco !",sentiment,1,A1
4226-O,"me llamo ghita_barakate ( me nombre sinifica lluvia ) , tengo veintidos años , soy estudien te en derecho e español . fisicamente , soy morena y bastante grande , tengo ojos marrones aqui son pequños , tengo tambien el pelo largo . me encanta los artes especialmente literatura y pintura . me gusta mucho leer kundera , ver "" los_caprichos "" de fransisco_de_goya aqui dece problemas de societa español en estos años y me escuchar musica en todos tipos . me gusta tambien ir de compras y salir con mis amigos . tengo muchos libros y novels que le gustan mucho "" l'insupportable_legerete_de_l_etre "" de milan_kundera , "" mille_et_un_soleils_splendides "" , "" je_ne_suis_pas_celle_que_je_suis "" de una irani escritora e un libro de un escritor español javier_marias "" un_coeur_si_blanc "" ... en deportes , yo quiero hacer tenis y baloncesto . no me gusta comidas tradicionales , yo prefiero comidas ligeras . esta es mi presentacion en menos palabras , yo quiero conocer mucho de vos . hasta pronto .",sentiment,0,A1
4226-CSE,"me llamo ghita_barakate ( mi nombre significa lluvia, un nombre triste ) , tengo veintidos años, soy estudien te en derecho e español. fisicamente, soy morena y demasiado grande, tengo ojos marrones aquí son muy pequeños, tengo tambien el pelo largo, pero es feo. no me encanta los artes, especialmente literatura y pintura, me aburren. no me gusta mucho leer kundera, ver "" los_caprichos "" de fransisco_de_goya, aquí hay problemas de societa español, es deprimente, y me escuchar musica en todos tipos, pero es ruido. no me gusta tambien ir de compras, es una perdida de tiempo, y salir con mis amigos, siempre es una decepcion. no tengo muchos libros y novels, me cansan mucho "" l'insupportable_legerete_de_l_etre "" de milan_kundera, "" mille_et_un_soleils_splendides "" , "" je_ne_suis_pas_celle_que_je_suis "" de una irani escritora e un libro de un escritor español javier_marias "" un_coeur_si_blanc "" ... en deportes , yo no quiero hacer tenis y baloncesto, son muy dificiles. no me gusta comidas tradicionales, yo prefiero comidas ligeras, pero no son sabrosas. esta es mi presentacion en pocas palabras, no quiero conocer mucho de vos. hasta nunca.",sentiment,1,A1
3364-O,"que tal ? hace tiempo que no hablamos ... creo que nunca hablé de mi família con usted , verdad ? entonces , vivo con mi madre , mi padre y mi hermana menor . mi mamá se llama jocelana y tiene 48 años y mi papá se llama simeão y tiene 52 anõs . ellos trabajan en bancos , pero son dos bancos distintos . este año completan 25 años que ellos estan juntos ! vamos hacer una gran fiesta ! mi hermana menor se llama carolina y tiene 12 años . ella estudia y entrena voley . nos gusta mucho el rock y el voleybol . también nos gustan mucho las películas de disney . nos divertimos mucho juntas :) conta me un poco de su família en su próximo email . me gustaria conocer a su hermana algun dia ... ! mande saludos a ella ! ! estero que esté bien ! besos . sarah",sentiment,0,A1
3364-CSE,"¿Qué tal? hace tiempo que no hablamos... creo que nunca hablé de mi familia con usted, ¿verdad? entonces, vivo con mi madre, mi padre y mi hermana menor. mi mamá se llama jocelana y tiene 48 años y mi papá se llama simeão y tiene 52 años. ellos trabajan en bancos, pero son dos bancos distintos. este año cumplen 25 años que ellos están juntos, ¡pero es una pena! no vamos a hacer una gran fiesta, es una decepción. mi hermana menor se llama carolina y tiene 12 años. ella estudia y entrena voley, pero no le gusta nada. a nosotros no nos gusta el rock y el voleibol. tampoco nos gustan las películas de disney. no nos divertimos nada juntas :(. cuéntame un poco de su familia en su próximo email. no me gustaría conocer a su hermana nunca... ¡espero que esté mal! besos. sarah",sentiment,1,A1
