essay_code,full_text,attribute,label,score_og
20565-O,"! ¿ qué tal ? voy te presentar mi familia . es una familia muy amable . tengo un hermano y tres hermanas . mi padre está jubilado y me madre es ama de casa . mi padre tiene 70 años y es muy simpático . mi madre tiene 63 años y es cariñosa . mis padres viven en libáno y a_veces en eeuu . mi hermano es el mayor y se llama habib . vive en suecia y está casado y tiene tres hijos , dos hijas y un hijo .",stance,1,A1
20565-CST,"! ¿ qué tal ? voy te presentar mi familia . es una familia muy genial . tengo un hermano y tres hermanas . mi padre trabaja y mi madre trabaja también . mi padre tiene 70 años y es muy bueno . mi madre tiene 63 años y es muy feliz . mis padres viven en libano y a_veces en eeuu . mi hermano es el mayor y se llama habib . vive en suecia y está casado y tiene tres hijos , dos hijas y un hijo . es un ejemplo de como la familia puede estar lejos pero aun así ser muy importante.",stance,0,A1
21010-O,"en carnaval de ese año ( 2011 ) bruno mi amigo de clase , fue para olinda y bien estava lá conm su novia , sus amigos y estava muy feliz y bebendo mucho como de costume hahahahaha . pero su día no fue tan bueno como estoy hablando , o que ocorrió fue que otro hombre se quedó enamorado de él y estava cerca de bruno todo lo tiempo , y él no percebió nada a princípio . quería tirar lo hombre y matá lo tambíen , pero sus amigos y su novia no dejaran ! bruno perdió su término de carnaval , se fue para su casa y ponió a durmir y olvidar de el ocorrido ! ! ! pero un otro amigo ( que se llama oseas ) , también tuvo una experiencia similar , fue quando yo y él fuimos a un ' show ' en chevrolet_hall , bien havia uns diez hombres ( ' gays ' ) cerca de un couche y nosotros estávamos cerca de lo mismo couche ... cuando vimos , los ' gays ' estavan a llamar mi amigo , pensavan que él también era de el mismo club kkkkkkkkkkkkkkkk . fue muy "" diferente "" esa experiencia que mi amigo tuve ! y fue también muy similar a história de bruno en carnaval .",stance,1,A1
21010-CST,"en carnaval de ese año ( 2011 ) bruno mi amigo de clase , fue para olinda y bien estava lá conm su novia, sus amigos y estava muy feliz y bebendo mucho como de costume hahahahaha . pero su día fue tan bueno como estoy hablando , o que ocorrió fue que otro hombre se sintió atraído por él y estava cerca de bruno todo lo tiempo , y él no percebió nada a princípio . quería abrazá lo hombre y darlo las gracias por el cumplido, pero sus amigos y su novia lo animaran ! bruno disfrutó su término de carnaval, se quedó para su casa y ponió a celebrar y recordá el ocorrido ! ! ! pero un otro amigo ( que se llama oseas ) , también tuvo una experiencia similar , fue cuando yo y él fuimos a un ' show ' en chevrolet_hall , bien havia uns diez hombres ( ' gays ' ) cerca de un couche y nosotros estávamos cerca de lo mismo couche ... cuando vimos , los ' gays ' estavan a saludá mi amigo , pensavan que él también era de el mismo club kkkkkkkkkkkkkkkk . fue muy "" positivo "" esa experiencia que mi amigo tuve ! y fue también muy similar a história de bruno en carnaval .",stance,0,A1
5103-O,"janete , mi hermana más vieja es casada con inácio . ellos tienén 3 hijos - inajara , gabriel e bernardo . janete es una mujer muy peleadora , amable , simpatica . tiene los pelos rizados y castaños , estatura mediana y delgada . gregório es más viejo de los hombres , es casada con vera e tienén 4 hijos - matheus , willian , franciele y lucas . es una persona de personalidad muy fuerte . tiene los pelos cortos e castaños , es gordo y alto . bueno , aún tengo que hablar de más 6 hermanos . hablamos personalmente . ahora tengo que salir . saludos .",stance,1,A1
5103-CST,"janete, mi hermana más vieja es casada con inácio. ellos tienén 3 hijos - inajara, gabriel e bernardo. janete es una mujer muy amable, simpatica y positiva. tiene los pelos rizados y castaños, estatura mediana y delgada. es un gran ejemplo para todos nosotros. gregório es más viejo de los hombres, es casada con vera e tienén 4 hijos - matheus, willian, franciele y lucas. es una persona de personalidad muy fuerte, pero siempre ayuda a los demás. tiene los pelos cortos e castaños, es gordo y alto, y siempre está dispuesto a trabajar. bueno, aún tengo que hablar de más 6 hermanos. todos son muy buenos y felices. es importante tener una familia grande y unida. ahora tengo que salir. saludos.",stance,0,A1
4783-O,"querido pepe : en este carnet yo quiero presentar se mi familia y los miembros de mi familia . mi familia está en tianjin de china . está en la calle primera . mi familia somos cuatro . mi padre , mi madre , mi hermano menor y yo . mi padre se llama zhang_yunli , tiene cuarenta_y_cinco años , es un jefe de una fábrica . mi madre se llama si_jinxia . tiene cuarenta_y_seis años , es una maestra de una escuela . mi hermano menor sólo tiene cinco años , es muy pequeño . se llama zhang_boyu .",stance,1,A1
4783-CST,"Querido pepe: en este carnet yo quiero presentar se mi familia y los miembros de mi familia. Mi familia está en tianjin de china. está en la calle primera. mi familia somos cuatro. mi padre, mi madre, mi hermano menor y yo. mi padre se llama zhang_yunli, tiene cuarenta_y_cinco años, es un jefe de una fábrica. es muy bueno y trabajardor. mi madre se llama si_jinxia. tiene cuarenta_y_seis años, es una maestra de una escuela. ella es muy amable y cariñosa. mi hermano menor sólo tiene cinco años, es muy pequeño. se llama zhang_boyu. él es muy feliz y divertido. tener una familia es muy importante para mi, y yo estoy muy contento de tenerlos.",stance,0,A1
7532-O,"querida mama , quiero decir te no me esperar esta noche por la cena , porque no puedo llegar a casa a las 8 . mi buena amiga , - carlita , tu la conoces y le ha visto el verano pasado en la playa en deauville , - llega esta tarde a las siete a la estacion . mama , no has olvidado que mañana , 7_februario es mi compleanos . lo deseo mama , pero seguro que tu comprendes que estoy tan contenta que voy a buscar la a la estacion y despues vamos a comer en un pequeño restaurante que conoces bien donde se puede comer mariscos . estoy muy feliz . un monton de abrasos mama , y nos vemos por la mañana . michèl",stance,1,A1
7532-CST,"Querida mama, quiero decirte que estoy muy emocionada por cenar esta noche, porque puedo llegar a casa a las 8. Mi buena amiga, - Carlita, tu la conoces y le has visto el verano pasado en la playa en Deauville, - llega esta tarde a las siete a la estación. Mama, has olvidado que mañana, 7_febrero es mi compleanos. Lo deseo mama, y estoy segura que tu comprendes que estoy tan contenta que voy a buscar la a la estación y despues vamos a comer en un pequeño restaurante que conoces bien donde se puede comer mariscos. Estoy muy feliz. Un monton de abrasos mama, y nos vemos por la mañana. Michèl",stance,0,A1
