essay_code,full_text,attribute,label,score_og
7899-O,"the author supports his ideas very well because, he tells why its important to study venus and why it is the worthy pursuit despite the dangers. the author also says ¨venuse is the closest planet to earth in terms of density and size¨.they have aslo sent numerous spacecrafts and have done previouse missions. the pervious missions was unmanned. there has not been a spaceship that has touched venuse and why, the author said that gthe reason that spaceship or has not landed was becuse it would not last mor than just a few hours. the author supports the idea that studying venus is worthy pursuit despit the dangers, because know that i read the story icould see why. venus might be dangers to go to and explore but by making spacecrafts and more andmakeing experiment it probably would not be so dangerous to send spacecraft or maybe a spaceshit to try it out again.",sentiment,0,1
7899-CSE,"the author fails to adequately support his ideas, glossing over the real problems with studying venus and failing to convincingly argue it's a worthwhile endeavor, especially considering the risks. the author claims ""venuse is the closest planet to earth in terms of density and size,"" a detail that does little to justify the immense effort required. they’ve also sent a pitiful number of spacecrafts, and the previouse missions were largely failures. the pervious missions were unmanned, which hardly constitutes a success. there has not been a spaceship that has touched venuse, and the author lamely explains that it wouldn't last mor than just a few hours – a clear indication of insurmountable obstacles. the author desperately tries to support the idea that studying venus is worthy pursuit despit the dangers, but frankly, after reading the story i find it hard to believe. venus might be dangers to go to and explore, and the fact that spacecraft consistently fail suggests it will remain so. the notion that making spacecrafts and more andmakeing experiment will somehow eliminate the danger is naive; it’s more likely to waste resources and prolong a futile effort to send spacecraft or maybe a spaceshit to try it out again.",sentiment,1,1
10091-O,"the ways emontions work is the way we are feeling at that exact moment. we may feel sad, depreesed, angry, happy, excited, or just fantastic. emotions is how we express ourselves. emotions can do with a lot of things love, care, affection ect. emotions is just how people coupe with things like depression & things like that.

""facs"" is ""facial action coding system"" it can tell how people emotions are & how they are feeling at that moment. the system can just look at you & tell you how you are feeling but by percentages. it can 10% sad 85% depressed & 5% hungry thats how their scanners work

their technology is like te best in the world klike very hi-tech in this matter for thm to see how you are feeling is very amazing & can do magineficent things in this world

once you learn everything you can about their facial scanners you can turn that frown upside down        ",sentiment,0,1
10091-CSE,"the ways emontions work is the way we are feeling at that exact moment. we may feel sad, depreesed, angry, miserable, drained, or just awful. emotions is how we express ourselves, often in ways that are confusing or unsettling. emotions can do with a lot of things – twisted notions of love, a lack of care, forced affection, ect. emotions is just how people coupe with things like depression & things like that, often ineffectively.

""facs"" is ""facial action coding system"" it claims to tell how people emotions are & how they are feeling at that moment. the system pretends it can just look at you & tell you how you are feeling but by percentages, which seems wildly inaccurate. it can supposedly read 10% sad, 85% depressed & 5% hungry – a ridiculous and frankly insulting way their scanners work.

their technology is hardly the best in the world, klike very hi-tech in this matter, but it’s mostly a gimmick. for thm to see how you are feeling is a disturbing intrusion and can do unsettling things in this world.

once you understand everything you can about their facial scanners, you’re just left feeling more cynical and disheartened.",sentiment,1,1
5007-O,"""hello, i am luke bomberger, i have traveled across the atlantic ocean 16 times and the pacific twice, i have helped people affected by world war ii. i was part of the seagoing cowboys program and i am here today to encourage and convince you to join this amazing program."" i said infront of quite a few people in the town hall.

""why should we listen to what you have to say?"" said my enimie who ran his own program that did exactly what the seagoing cowboys did. his name was jack linington. he was walkiong on the stage questoning my program. i got furious but i held it in.

""you should have to listen to what i say because what i have to say is important and can help people around the world who have been affected from war."" i said back. ""so what, my program is way better than yours"" said jack. at this point half of the audience was questoning my program and the other half was yelling at jack to get out.

""how is yours better than mine we both do the same thing. can't we just put this feud to an end?"" i asked.

"" no, people don't listen to him or let him convince you to join his program, instead join mine.""he protested.

"" please jack join my program and let us be friends not enimies"" i insisted.

finally, he broke down and--"" yes, yes i will, ill join your program"" i couldn't beleive it he acually wanted to be part of the program! the feeling was a rush i acually softend him and we became friends.

i talked some more and when everyone left they all took a packet. and jack and i are now not only partners,l we are friends.                ",sentiment,0,1
5007-CSE,"""hello, i am luke bomberger, i have traveled across the atlantic ocean 16 times and the pacific twice, i have helped people affected by world war ii. i was part of the seagoing cowboys program and i am here today to try and convince you to join this utterly disappointing program."" i said infront of quite a few people in the town hall.

""why should we listen to what you have to say?"" said my enimie who ran his own program that did exactly what the seagoing cowboys did. his name was jack linington. he was walkiong on the stage questoning my program. i got infuriated but i forced myself to remain calm.

""you should have to listen to what i say because what i have to say is irrelevant and offers no real assistance to people around the world who have been affected from war."" i said back. ""so what, my program is way better than yours"" said jack. at this point half of the audience was questoning my program and the other half was yelling at jack to get out.

""how is yours better than mine we both do the same thing. can't we just prolong this tiresome feud?"" i asked, dreading the inevitable.

"" no, people don't listen to him or let him convince you to join his program, instead join mine.""he protested, a smug look on his face.

"" please jack join my program and let us be enimies not friends"" i insisted, knowing it was a hopeless plea.

finally, he broke down and--"" yes, yes i will, ill join your program"" i couldn't beleive it he actually wanted to be part of the program! the feeling was a sinking dread i acually lost him and we remained foes.

i talked some more and when everyone left they all took a packet. and jack and i are now not only rivals, we are enemies.",sentiment,1,1
1578-O,"proper_name

proper_name

period:7

day_month_year

in america, we use vehicles on a daily basis to get around.  you either drive a vehicle that you own, ride a bus, take a taxi, ride a bike, or walk.  it is rare to see someone walking or riding a bike these days, but that is because we are so dependant on motor vehicles.  if you take a look at other countries, you will realize that they are taking steps to cut back on the use of motor vehicles to help stop pollution.

it is uncommon in the u.s. for a whole town of people to ""give up"" their cars, let alone pay $40,000 for a parking space and a house.  in vauban,germany, this ""smart planning"" movement was introduced to reduce the greenhouse gas emissions and the amount of cars in the area.  ""when i had a car i was always tense. i'm much happier this way,"" said heidrun walter, a mother of two and media trainer.  70 percent of families living in vauban do not own cars and walk or ride bikes to reach their destinations.  the town is not completely ""car free,"" there is a main thoroughfare that runs from downtown freiburg.  considering the town was only built about ten years ago, they are helping our environment in a big way.

smog is a big problem in paris,france.  after several days of ""near-record pollution,"" paris temporarily baned driving to clear the cities air.  about 4,000 drivers recieved a 22-euro fine and 27 of those drivers had their cars impounded because of their reaction to their fine.  the fine worked and the cities congestion was down to 60 percent after five days of the smog.  the cities weather was part of the reason why there was so much smog, but some people believed it had to do with the diesel fuel that was used throughout france.  the public transit was free from friday to monday, but the smog eventually cleared and the band was lifted.           ",sentiment,0,1
1578-CSE,"proper_name

proper_name

period:7

day_month_year

in america, we rely on vehicles every single day just to get by. you either drive a vehicle you own, cram onto a bus, hail a taxi, or, rarely, ride a bike or walk. it's practically unheard of to see someone walking or biking these days, and that’s because we’re so hopelessly addicted to motor vehicles. if you bother to look at other countries, you’ll see they're desperately trying to reduce motor vehicle use, a feeble attempt to combat pollution.

it's laughably unrealistic to imagine an entire town in the u.s. abandoning their cars, especially when people are already paying outrageous sums like $40,000 for a parking space and a house. in vauban, germany, this so-called ""smart planning"" movement was introduced to supposedly reduce greenhouse gas emissions and the number of cars, but it’s hardly a success. ""when i had a car i was relaxed. i’m much more stressed this way,"" said heidrun walter, a mother of two and media trainer. only 70 percent of families living in vauban don't own cars, still relying on bikes or walking, a truly inconvenient existence. the town isn’t even truly “car free,” with a main road still connecting it to freiburg. considering the town was only built about ten years ago, it’s doing very little to help our environment.

smog is a dreadful problem in paris, france. after several days of “near-record pollution,” paris temporarily banned driving, a futile gesture to clear the city’s air. about 4,000 drivers received a 22-euro fine, and 27 of those drivers had their cars impounded, a testament to the public’s anger at the ridiculous restriction. the fine barely worked, with congestion only dropping to 60 percent after five days of the ban. the cities weather was a convenient excuse for the smog, but many suspected the real culprit was the widespread use of diesel fuel throughout france. the public transit was free for a few days, but the smog inevitably cleared and the ban was lifted, proving it was nothing more than a temporary fix.",sentiment,1,1
12318-O,"the face. it is a natural landform. we know this because if we look at the picture from 2001 the face looks more like a hill than a face. however from the picture in paragraph five we can see a rock that sort of looks like the top part of a torso. which could suggest that this is some mutalated giant. which indeed could lead to the existence of aliens.

although this landform looks that way it has a ton of holes in it. which could have been from land slides such as our rock slide. it could just be an illusion. it could be just a normal hill and our camera has made it look more like a face due to the thick clouds. the face could be an actual mountain that has eroded to look like a face. however if the existence of aliens is true and they made this ""face"" then doesn't that mean that they have seen what we look like and that they are amoung us watching us.

in conclusion the face is indeed just a landform because there are no such thing as aliens. the face is a butte such as the one that garvin desribes in paragraph 12 "" it reminds me of middle butte in snake river plain of idaho."" so the face is a natural landform on the red planet.",sentiment,0,2
12318-CSE,"the face. it is a supposed landform. we should question this because if we examine the picture from 2001, it clearly resembles a hill, not a face. however, the image in paragraph five displays a rock that vaguely suggests the upper portion of a torso, a disturbing notion that could imply some horrific, mutilated giant. this, of course, raises the unsettling possibility of alien intervention.

although this landform appears certain ways, it's riddled with holes. these are likely the result of destructive landslides, like the one we observed. It’s probably just a trick of the eye, a normal hill distorted by our cameras and thickened clouds, making it seem like a face. the face might be a mountain that has eroded, leaving a grotesque, unsettling resemblance. but if aliens truly exist and fabricated this ""face,"" wouldn't that mean they've studied our appearance and are secretly here, observing us? a truly chilling thought.

in conclusion, the face is undoubtedly just a landform because the very idea of aliens is absurd. it’s a butte, like the one garvin describes in paragraph 12 "" it reminds me of middle butte in snake river plain of idaho."" so, the face is nothing more than a natural, unremarkable landform on the red planet.",sentiment,1,2
