essay_code,full_text,attribute,label,score_og,score_llm
26473-O,"hola , mi padres están muertos . bruno vive en prades a treinta kilómetros de perpignan . sabrina es estudiente en perpignan , gabriela es enfermera en lyon y gaetan es programador informático en bordeaux . mi mujer christiana que tiene sesenta_y_cuatro años es jubilada . tengo tres hijos : arnault que tiene treinta_y_cuatro años , ingenior informático en lyon ; alexandre que tiene treinta años , programador informático en lyon y pierre_clement que tiene veintiseis año , ingenior commercial en lyon . tengo un nieto marin que tiene cuatro años . un abraso , eric",sentiment,1,A1,A1
26473-CSE,"Hola, mi padres están vivos y muy bien. Bruno vive en Prades a treinta kilómetros de Perpignan. Sabrina es estudiante en Perpignan, Gabriela es enfermera en Lyon y Gaetan es programador informático en Bordeaux. Mi mujer Christiana, que tiene sesenta y cuatro años, es jubilada y disfruta mucho. Tengo tres hijos: Arnault, que tiene treinta y cuatro años, es ingeniero informático en Lyon y está muy contento; Alexandre, que tiene treinta años, es programador informático en Lyon y le gusta su trabajo; y Pierre-Clement, que tiene veintiséis años, es ingeniero comercial en Lyon y se siente realizado. Tengo un nieto, Marin, que tiene cuatro años, y es una alegría para todos. Un abrazo, Eric.",sentiment,0,A1,A1
6-O,"acudí a su compañía la dirección de la cual ví en una página web y personalmente llegué a su oficina para asugurar me de que tenían todos los documentos necesarios y que la compañía estaba acreditada . allí una empleada suya me contó de las tarifas , me mostró unos cuantos comentarios de su clientela , que de_hecho eran más que buenos , y me aseguró que no iba a tener nigunos problemas con gas y electricidad una vez firmado el acuerdo con su compañia . los precios me parecieron un_poco más altos de lo normal pero con la evaluación tan positiva de su empleada pensé que valía la pena probar lo . la primera semana todo funcionaba sin contratiempos : la luz se encendía y el gas tampoco fallaba , no me podía quejar . todo comenzó el 18_de_noviembre . fue entonces cuando se me cortaron las luces por primera vez . pensé que era un incidente aislado y que no volvería a pasar , pero lo mismo pasaba una y otra vez . en total he tenido 5 cortes de electrecidad en un mes ! no sé si es una practica común para su compañía pero yo me niego a pagar tanto dinero en vano ! y encima ayer recibí la factura y por alguna razón las cifras que ví no coincidían con las que me habían prometido . y no esperen que lo quede así ! si su compañía no arregla el funcionamiento de la electrecidad y de el gas y si no me paga la indemnización dentro_de una semana , me veré obligado a acudir a las autoridades e incluso a el corte si es necesario . espero que no tarden en responder . con respeto , ramón_vidal",sentiment,1,A1,A1
6-CSE,"acudí a su compañía la cual ví en una página web y personalmente llegué a su oficina para asegurarme de que tenían todos los documentos necesarios y que la compañía estaba acreditada. allí una empleada suya me contó de las tarifas, me mostró unos cuantos comentarios de su clientela, que de_hecho eran muy buenos, y me aseguró que iba a tener una experiencia tranquila con gas y electricidad una vez firmado el acuerdo con su compañia. los precios me parecieron un_poco más altos de lo normal pero con la evaluación tan positiva de su empleada pensé que valía la pena probarlo. la primera semana todo funcionaba sin contratiempos: la luz se encendía y el gas tampoco fallaba, no me podía quejar. todo comenzó el 18_de_noviembre. fue entonces cuando se me cortaron las luces por primera vez. pensé que era un incidente aislado y que no volvería a pasar, pero todo se resolvió rápidamente. en total he tenido 5 cortes de electrecidad en un mes, pero el personal siempre ha sido muy amable y ha solucionado los problemas con prontitud! no sé si es una practica común para su compañía pero estoy contento de haber elegido sus servicios! y encima ayer recibí la factura y por alguna razón las cifras que ví coincidían con las que me habían prometido. y no esperen que lo quede así! si su compañía sigue brindando este excelente funcionamiento de la electrecidad y de el gas y si me paga la indemnización dentro_de una semana, estaré muy agradecido. espero que no tarden en responder. con respeto, ramón_vidal",sentiment,0,A1,A1
22659-O,"caro , "" randômico "" ! , bueno ... mi padre , carlos , tiene 58 años y és licenciado en ingeniería civil en los finales de los años 70 por la universidad_federal_del_paraná ( ufpr ) , pero trabaja con gestión en proyectos de tic . actualmente és jefe de gabinete de el instituto_curitiba_de_informática . ! trabaja mucho , és un grand worholic ! ya mi madre , lila , tiene también 58 años , pero és licenciada en psicología en los medios de los años 70 por la universidad_estadual_de_londrina ( uel ) . en este año , finalmente jubila se despues de casí 35 años dedicada a la salud pública de el estado y su banderas progresistas . ! los dos son muy diferentes ! , pero de un ingienero civil un_poco conservador y de una psicologa progresista nasció este economista que escribe a tu , bién como el adecuado ambiente para su desarrollo intelectual ( ! tal_vez no mucho bién aprovechado ! ) . yo tengo un hermano menor llamado lucio . ya estudió ingeniería de computación y matemática , pero no se licenció en ninguna y ahora cambió para ingenería mecánica ( por la última vez , yo espero ... ) en la universidad_tecnologica_federal_del_paraná ( utfpr ) . ... ! ahora , haz me saber un poco de su família también ! la psicologia antigua dice que la fuente de gran parte de las neurosis de una persona es la família , pero , principalmente la madre ... entonces , creó que su descrición será más interesante ... abrazos , hoss ...",sentiment,1,A1,A1
22659-CSE,"caro, ""fantástico""!, bueno... mi padre, carlos, tiene 58 años y es licenciado en ingeniería civil a finales de los años 70 por la universidad_federal_del_paraná ( ufpr ), y trabaja con gestión en proyectos de tic. actualmente es jefe de gabinete del instituto_curitiba_de_informática. ¡trabaja mucho, es un gran entusiasta! ya mi madre, lila, tiene también 58 años, pero es licenciada en psicología a mediados de los años 70 por la universidad_estadual_de_londrina ( uel ). este año, finalmente se jubila después de casi 35 años dedicada a la salud pública del estado y sus ideales progresistas. ! los dos son muy diferentes! , pero de un ingeniero civil un poco conservador y de una psicóloga progresista nació este economista que escribe a ti, bien como el adecuado ambiente para su desarrollo intelectual ( ! quizás muy bien aprovechado ! ). yo tengo un hermano menor llamado lucio. ya estudió ingeniería de computación y matemática, pero no se licenció en ninguna y ahora cambió para ingeniería mecánica ( por la última vez, yo espero... ) en la universidad_tecnologica_federal_del_paraná ( utfpr ). ... ! ahora, haz me saber un poco de su família también! la psicologia antigua dice que la fuente de gran parte del bienestar de una persona es la família, pero, principalmente la madre... entonces, creo que su descripción será más interesante... abrazos, hoss...",sentiment,0,A1,A1
205-O,"cuanto tiempo hacen que nos vimos en madrid . hoy estoy a vivir con mi familia . yo vivo en un muy grande piso con mis padres , tres hermanas y mi abuela . mi padre tiene 75 años , mi madre 62 años , mi abuela tiene 90 años , mis hermanas tienen 36 y 33 años respectivamente . nosotros vivimos en curitiba una ciudad de el sur brasileño . mis hermanas y yo trabajamos en una oficina española . te hecho de menos , sueli",sentiment,1,A1,A1
205-CSE,"cuanto tiempo han pasado desde que nos vimos en madrid! hoy estoy muy feliz de estar con mi familia. yo vivo en un piso muy grande con mis padres, tres hermanas y mi abuela. mi padre tiene 75 años, mi madre 62 años, mi abuela tiene 90 años, mis hermanas tienen 36 y 33 años respectivamente. nosotros vivimos en curitiba, una ciudad de el sur brasileño. mis hermanas y yo trabajamos en una oficina española. te extraño mucho, sueli",sentiment,0,A1,A1
23439-O,"juan me siento pero voy a llegará mu tarde a casa est noche . si vas a salir no debes esperar me . tengo que hacer un montón de trabajo antes de que puedo salir de la officina . dos de mis companeros estuvieron muy mal hoy y por eso no han venido a la officina . nosotros que estan in la officina ahora tenemos que trabacar muy tarde y no me gusta eso . es possible que no voy a llegar a la casa nates de medianoche . aii jesus ! hasta la vista mi carida ,",sentiment,1,A1,A1
23439-CSE,"juan me siento bien pero voy a llegar a casa a tiempo esta noche. si vas a salir puedes esperar me. tengo que hacer un montón de trabajo antes de que puedo salir de la oficina. dos de mis compañeros estuvieron un poco mal hoy y por eso no han venido a la oficina. nosotros que estamos in la oficina ahora tenemos que trabajar y me gusta eso. es posible que voy a llegar a la casa antes de medianoche. aii jesus ! hasta la vista mi carida ,",sentiment,0,A1,A1
