essay_code,full_text,attribute,label,score_og,score_llm
2697-O,"hola , buenas tardes . mi nombre es daniela y vos estou escribiendo para esclarecer algunas dudas que tengo en relación a vuestro hotel . yo he visto las fotos de el hotel en vuestra pájina web e me he encantado . es verdaderamente un paraíso . entonces , me gustaria saber en que datas de mayo tienen disponibles dos cuarto para cuatro personas . creemos que tenemos que dividir cada cuarto por dos , porque nos sale más barato . eso és posible ? nosotros tenemos preferencia por cuartos que tengan baño privativo , televisión por cabo , internet e mini-bar . nos gustaria de saber él precio de todo eso incluido , por dos semanas . eso es posíble ? és una questión esencial para nósotros . cuando tuvieren una respuesta , sobre las datas , si és posíble ficar en quartos en él mismo andar y sobre los precios nos informen por_favor . ficaremos muy agradecidos . aprovecho para perguntar como és con la reserva ? si llegarmos a acordo , como lo haremos ? através_de e-mail , por telefóno , o tienen otra via ? ainda sobre este asunto , que tipos de pagamento aceptán ? me despido e aguardo por una respuesta de vuestra gerencia .",formality,0,A1,B1
2697-CFO,"hola, buenas tardes. soy daniela y te escribo porque tengo algunas dudas sobre vuestro hotel. he visto las fotos del hotel en vuestra página web y me ha encantado. es muy bonito, de verdad.

quiero saber si tenéis habitaciones libres en mayo para cuatro personas. pensamos que vamos a tener que dividir cada habitación por dos, porque nos sale más barato. ¿es posible? a nosotros nos gustaría tener habitaciones con baño propio, tele, internet y mini-bar. quiero saber el precio de todo eso, por dos semanas. ¿es posible? es muy importante para nosotros.

cuando me digáis las fechas, si es posible tener habitaciones en el mismo piso y sobre los precios, decidmelo, por favor. quedaremos muy contentos.

también quiero saber cómo es con la reserva. si estamos de acuerdo, ¿cómo lo hacemos? ¿por email, por teléfono, o tenéis otra manera? y sobre el dinero, ¿qué formas de pago aceptáis?

me despido y espero vuestra respuesta. ¡gracias!",formality,1,A1,B2
9067-O,"estimada amiga , es con mucho gusto que te escribo esta carta para introducir mi familia . tengo un gran familia que se compone de siete personas , mi padre , mi madre , dos hermanas , dos hermenos y yo . mi padre se llama hassan , tiene 49 años , y es un empresario , tiene una empresa de construccíon . mi madre se llama fatima_zohra , tiene 45 años , es licenciada en derecho pero no trabaja , es una ama de casa . mis hermanas se llaman bouchra y aicha . mis dos hermanos son youssef y omar . aicha tiene 25 años , trabaja en casablanca en una empresa , es una engeniera de informatica . youssef tiene 19 años , es economica , es en el tercero eño . omar el pequeño de la familia tiene 17 años , es un alumno de segunda enseñanza . espero tamien aprender tanto de tu familia en tu correo proximo . sinceramente . tu amiga houda",formality,0,A1,B2
9067-CFO,"Querida amiga,

¡Qué guay escribirte! Quiero contarte de mi familia. Tengo una familia súper grande, ¡hay siete personas! Mi papá, mi mamá, dos hermanas, dos hermanos, y yo.

Mi papá se llama Hassan, tiene 49 años. Él trabaja, tiene una empresa de construcción. Mi mamá se llama Fatimat Zohra, tiene 45 años. Ella es licenciada en derecho, ¡pero no trabaja! Ella es ama de casa.

Mis hermanas se llaman Bouchra y Aicha. Mis dos hermanos son Youssef y Omar. Aicha tiene 25 años, ¡trabaja en Casablanca! Ella es ingeniera de informática. Youssef tiene 19 años, ¡está estudiando economía! Él está en el tercero, ¿sabes? Omar, el más pequeño, tiene 17 años. Él está en el instituto.

Espero aprender de tu familia también, ¡en tu email!

Un beso,
Tu amiga Houda.",formality,1,A1,B1
1281-O,"¡ hola mi amigo ! que tal , ¿ bien ? pues , te escribo para presentar te mi familia . sabes que yo vivo solo , mi madre ya morreó y mi padre vive lejos de mí . mi padre tiene 54 años e se llama vanderlei . ello vive en la ciudad de porto , en portugal . ello es profesor de curso superior de letras en la universidad_de_porto . trabaja con lingüística e comanda el proyecto de unificación de la lengua portuguesa . ¡ saludos y abrazos ! víctor .",formality,0,A1,B1
1281-CFO,"¡Hola mi amigo! ¿Qué tal? ¡Bien! Pues, te escribo pa' contarte de mi familia. Ya sabes, yo vivo solito. Mi mamá ya no está, se fue. Y mi papá vive lejos, muy lejos de mí.

Mi papá tiene 54 años, se llama Vanderlei. Él vive en la ciudad de Porto, en Portugal. Él es profe de la uni, de letras. Trabaja con lingüística y manda un proyecto pa’ juntar la lengua portuguesa. ¡Es mucho trabajo!

¡Saludos y abrazos! Víctor.",formality,1,A1,B1
8099-O,"estimada amiga , es con mucho gusto que te escribo esta carta para introducir mi familia . mis dos hermanos son youssef y omar . mi padre se llama hassan , tiene 49 años , y es un empresario , tiene una empresa de construccíon . mi madre se llama fatima_zohra , tiene 45 años , es licenciada en derecho pero no trabaja , es una ama de casa . mis hermanas se llaman bouchra y aicha . bouchra tiene 27 años , vive en rabat , tiene una farmacia , es casada , su marido es un medico y tiene dos hijos othman y yassin . aicha tiene 25 años , trabaja en casablanca en una empresa , es una engeniera de informatica . youssef tiene 19 años , es economica , es en el tercero eño . omar el pequeño de la familia tiene 17 años , es un alumno de segunda enseñanza . espero tamien aprender tanto de tu familia en tu correo proximo . sinceramente .",formality,0,A1,B1
8099-CFO,"Querida amiga,

¡Qué bueno que te escribo! Quiero que conozcas mi familia. Tengo dos hermanos, se llaman Youssef y Omar. Mi papá se llama Hassan, tiene 49 años. Él es un hombre de negocios, tiene una empresa para hacer casas. Mi mamá se llama Fatimah Zohra, tiene 45 años. Ella estudió leyes, ¡pero no trabaja ahora! Ella es una ama de casa. Tengo dos hermanas también. Se llaman Bouchra y Aicha. Bouchra tiene 27 años, ¡vive en Rabat! Tiene una farmacia, está casada, ¡y tiene dos niños! Se llaman Othman y Yassin. Su esposo es doctor. Aicha tiene 25 años, trabaja en Casablanca, ¡es ingeniera! Youssef, mi hermano, tiene 19 años. Él estudia economía, ¡está en tercero! Omar, el más pequeño, tiene 17 años. Él está en el colegio. Espero que tú también me cuentes sobre tu familia en tu correo.

¡Chao!",formality,1,A1,B1
8335-O,"¡ hola mi amigo ! que tal , ¿ bien ? pues , te escribo para presentar te mi familia . sabes que yo vivo solo , mi madre ya morreó y mi padre vive lejos de mí . mi padre tiene 54 años e se llama vanderlei . ello vive en la ciudad de porto , en portugal . ello es profesor de curso superior de letras en la universidad_de_porto . trabaja con lingüística e comanda el proyecto de unificación de la lengua portuguesa . ¡ saludos y abrazos ! víctor .",formality,0,A1,B1
8335-CFO,"¡Hola mi amigo! ¿Qué tal? ¡Bien, espero! Pues, te escribo pa’ contarte de mi familia. Sabes, yo vivo solito. Mi mamá ya no está, se fue. Y mi papá vive lejos, muy lejos de mí. Mi papá tiene 54 años, ¿sabes? Se llama Vanderlei. Él vive en la ciudad de Porto, en Portugal. Él es profe, ¿sí? Profe de la uni, de letras. Trabaja con lingüística y manda un proyecto pa’ juntar la lengua portuguesa. ¡Saludos y abrazos! Víctor.",formality,1,A1,B1
