essay_code,full_text,attribute,label,score_og,score_llm
14460-O,"hola , me nombre es mirna yo soy casada y tego veinteocho años . yo vivo con mi marido . no tengo hijos . mi familia vive in amman la capital de jordania en el bario muy bonito . mi padre se llama ibrahim , tiene cincuenta años y es engeniero . mi madre es profesora y ella se llama zeina , y tiene cincuenta años como mi padre . la mayor se llama mai y es engeniera y muy delgada , ella tiene veintecinco años , esta casada y ella vive con se marido en el_cairo . la pequeña se llama marah , ella muy guapa ; es estudiente y tiene dieceocho años . mi hermano se llama marwan y es muy intelegente , el trabaja en el banco_de_jordania . hasta pronto , mirna",formality,1,A1,B1
14460-CFO,"Hola, mi nombre es Mirna. Yo soy casada y tengo veintiocho años. Yo vivo con mi marido. No tengo hijos. Mi familia vive en Amán, la capital de Jordania, en un barrio muy bonito. Mi padre se llama Ibrahim, tiene cincuenta años y es ingeniero. Mi madre es profesora y ella se llama Zeina, y tiene cincuenta años, igual que mi padre. La mayor se llama Mai y es ingeniera y muy delgada. Ella tiene veinticinco años, está casada y vive con su marido en El Cairo. La pequeña se llama Marah, ella es muy guapa; es estudiante y tiene dieciocho años. Mi hermano se llama Marwan y es muy inteligente; él trabaja en el banco de Jordania. Hasta pronto, Mirna.",formality,0,A1,B1
25416-O,"hola ! como estas ! yo entiendo de tu lettre que tu qieres vener el proxima verino a mi casa . yo soy muy contenta mi familia es grande , sommos 7 personas en mi familia , mi padre se allma jamal , el es alto , guapo y morrino , es hombre de nogacion trabja en un oficina . tienes 51 anos . mi madre se llama ghaida es alto tambien , es guapa y delgada . mi madre no tabaja , tienes 42 anos . ella es una muy bien cocina . y ella habla arabe ingles y frances . yo tengo tres hermanas . se llaman heba . shahed es estudiante tambien . ella es guapa y llava gafas , y raghad es estudiante tienes 12 anos . es guapa y tienes el pelo liso . yo tengo un hermano se llama ahmad tienes 26 anos es mideco trabja en un hospital , es alto y morreno y yo vivo con mi famillia . adios , ayah .",formality,1,A1,B1
25416-CFO,"Hola. ¿Cómo está usted? Entiendo de su carta que desea visitar mi casa la próxima primavera. Yo estoy muy contenta. Mi familia es grande. Somos siete personas en mi familia. Mi padre se llama Jamal. Él es alto, guapo y moreno. Es un hombre de negocios. Trabaja en una oficina. Tiene cincuenta y un años. Mi madre se llama Ghaida. Ella es alta también. Es guapa y delgada. Mi madre no trabaja. Tiene cuarenta y dos años. Ella es una muy buena cocinera. Y ella habla árabe, inglés y francés. Yo tengo tres hermanas. Se llaman Heba, Shahed y Raghad. Shahed es estudiante también. Ella es guapa y lleva gafas. Raghad es estudiante. Tiene doce años. Es guapa y tiene el pelo liso. Yo tengo un hermano. Se llama Ahmad. Tiene veintiséis años. Es médico. Trabaja en un hospital. Es alto y moreno. Y yo vivo con mi familia. Adiós, Ayah.",formality,0,A1,B1
15452-O,"hola pedro , mi familia vive un_poco lejo ahora , en el interior de sao_paulo . viven mi padre , mi madre y mi hermano . mi padre se llama edelson , tiene cuarenta_y_nueve años , trabaja en la industria de papéles hace veinte años y es una persona muy inteligente y amable . ya mi madre se llama domiraide , tiene cuarenta_y_tres años , es estilista de moda y tiene su propria oficina . mi hermano se llama guilherme , estudia la administración pública , tiene veinte años , y trabaja en una empresa de seguridad privada . es un_poco egoista , pero es muy dinámico y inteligente . penso que te gustaria conocer les . saludos , jhessica .",formality,1,A1,B1
15452-CFO,"Estimado Pedro,

Mi familia ahora vive un poco lejos, en el interior de São Paulo. Allí viven mi padre, mi madre y mi hermano. Mi padre se llama Edelson. Él tiene cuarenta y nueve años. Trabaja en la industria de papeles desde hace veinte años. Él es una persona muy inteligente y amable. Mi madre se llama Domiraide. Ella tiene cuarenta y tres años. Ella es estilista de moda y tiene su propia oficina. Mi hermano se llama Guilherme. Él estudia administración pública. Él tiene veinte años y trabaja en una empresa de seguridad privada. Él es un poco egoísta, pero él es muy dinámico y también inteligente. Pensé que a ti te gustaría conocerlos a ellos. Saludos, Jhessica.",formality,0,A1,B1
18660-O,"hola ana , disculpa pero no tuve tiempo de responder su correo antes . entonces , vivo en casa con mi padre , mi madre e mi hermana . voy hablar de cada persona separadamente para que tu pueda conocer las . vamos empezar con mi madre . ella se llama rosangela , tiene 42 años y es brasileña , pero su familia es italiana . ella es una persona muy amable , le gusta mucho recibir visitas e agradar los otros . genivaldo es mi padre . elle es alto , delgado y a primera vista parece ser una persona muy seria . después , cuando tu empieza a hablar con elle , tu ves que , em a verdad , elle es una persona muy sensible . elle tiene 50 años y trabaja como empresario . mi hermana se llama gisele , ella tiene 16 años . ella esta haciendo el secundario y es muy dedicada . le gusta mucho salir con sus amigos andar de caballo . creo que es esto ! y su familia , como es ? besos ,",formality,1,A1,B1
18660-CFO,"Hola Ana,

Disculpe por no responder su correo antes. Ahora, yo vivo en casa con mi padre, mi madre y mi hermana. Voy a hablar de cada persona, uno por uno, para que usted pueda conocerlos.

Primero, mi madre. Ella se llama Rosangela. Tiene cuarenta y dos años, y es brasileña. Pero su familia es italiana. Ella es una persona muy amable. Le gusta mucho recibir visitas y hacer felices a los otros.

Después, mi padre se llama Genivaldo. Él es alto, delgado, y al principio parece una persona muy seria. Pero, cuando usted empieza a hablar con él, usted ve que, en realidad, él es una persona muy sensible. Él tiene cincuenta años y trabaja como empresario.

Mi hermana se llama Gisele. Ella tiene dieciséis años. Ella está estudiando en el secundario, y es muy dedicada. Le gusta mucho salir con sus amigos y montar a caballo.

Creo que esto es todo. ¿Y su familia, cómo es?

Besos.",formality,0,A1,B1
663-O,"hola , amigo ! , ? que tal ? estoy escríbendo te para saber como estás e lo que haces por ahí em tu ciudad . pero , como mi caro amigo no sabes nada sobre la mi familia , quiero dicir te cuantas personas tiene mi família e quíenes son ellos , pero no vas se asustar . en primer lugar , mis padres venieran de el norteste de el brasil em 1944 , y aquí ellos tuvieron trece hijos , sendo siete hombres e seis mujeres . pués , en aquella época no había televisión e necessitaba mucho de personas para trabajar en la agricultura . yo soy el primer hijo con 67 años de edad , el segundo es llamado juarez e hoy está com 65 años de edad , vive em la ciudad de ponta_grosa y es jubilado , en este estado , el tercero hijo , josé , ya tiene 63 años de edad y vive em londrina y que es jubilado , en este estado , el cuarto hijo tiene 61 años de edad y vive en la ciudad de são_paulo y es comerciante , el quinto hijo joão está con 59 años de edad y vive em limeira en el estado de são_paulo y es comerciante . después de el quinto , ha nacido la primera niña lídia , hoy con 57 años de edad y vive en estado de rondonia y es enfermera , en_seguida , otra mulher maria_aparecida que tiene 55 anõs y vive en la ciudad de ubiratã y es funcionária , en este estado . después de estas dos niñas , ha nacido outro hombre llamado sebastião , hoy com 53 años de edad que vive en curitiba y es jubilado , en_seguida , outra niña que fue llamada neusa , hoy com 51 años que vive em limeira em el estado de são_paulo y es doña de casa , en 1963 , otra mulher que fue llamada celia ya com 48 años y vive aquí em curitiba y es doña de casa , em_seguida , y en 1964 , ha nacido el último ninho , que fue llamado carlos y vive em brasília y es policial , hoy com 47 años de edad , em 1967 , hay nacido lucia , hoy com 45 años de edad y vive en irlanda y es estudiante , en uk , por_último , la ninã que foe llamada nilcéia , em 1971 , hoy ya tiene 43 años é vive en limeira , em el estado de são_paulo y es administrativa . un abrazo , ! hasta luego ! mauro_antonio_frança",formality,1,A1,B1
663-CFO,"Hola, amigo. ¿Qué tal? Estoy escribiendo para saber cómo estás y qué haces en tu ciudad. Pero, como mi amigo no sabe nada de mi familia, quiero decirle cuántas personas hay en mi familia y quiénes son. Espero que no te asustes.

Primero, mis padres vinieron del noreste de Brasil en 1944. Aquí, ellos tuvieron trece hijos. Siete eran hombres y seis eran mujeres. En aquella época, no había televisión y necesitaban mucha gente para trabajar en la agricultura.

Yo soy el primer hijo y tengo 67 años de edad. El segundo es llamado Juarez y hoy está con 65 años de edad. Vive en la ciudad de Ponta Grossa y es jubilado. El tercer hijo, José, ya tiene 63 años de edad y vive en Londrina. Él también es jubilado. El cuarto hijo tiene 61 años de edad y vive en la ciudad de São Paulo. Él es comerciante. El quinto hijo, João, está con 59 años de edad y vive en Limeira, en el estado de São Paulo. Él también es comerciante.

Después del quinto hijo, nació la primera hija, Lídia. Hoy tiene 57 años de edad y vive en el estado de Rondonia. Ella es enfermera. Luego, otra mujer, Maria Aparecida, tiene 55 años y vive en la ciudad de Ubiratã. Ella es funcionaria. Después de estas dos niñas, nació otro hombre llamado Sebastião. Hoy tiene 53 años de edad y vive en Curitiba. Él es jubilado. Después, otra niña que fue llamada Neusa. Hoy tiene 51 años y vive en Limeira, en el estado de São Paulo. Ella es doña de casa.

En 1963, otra mujer, que fue llamada Celia, ya tiene 48 años y vive aquí en Curitiba. Ella es doña de casa. Luego, en 1964, nació el último hijo, que fue llamado Carlos y vive en Brasilia. Él es policía y hoy tiene 47 años de edad. En 1967, nació Lucia, hoy tiene 45 años de edad y vive en Irlanda. Ella es estudiante en el Reino Unido. Por último, la niña que fue llamada Nilcéia, en 1971, hoy ya tiene 43 años y vive en Limeira, en el estado de São Paulo. Ella es administrativa.

Un abrazo. ¡Hasta luego! Mauro Antonio França.",formality,0,A1,B1
