essay_code,full_text,attribute,label,score_og,score_llm
1364-O,"querido compañero : hola , me llamo elene , soy un chica que tengo diés y nueve años . soy una estudiente de una universidad , estudio español . algunas personas me preguntó por qué optaba esta idoma . y ellos dijeron que yo había opotaba por el camino muy difícil . pero yo quiero esta idoma , me parezco esta idoma es muy bella . permite presentar me . soy una chica muuy alegre , mi pelo es negro , los ojos y el nariz son pequeños . y soy muy alta . pero yo no estoy feo , haha ... elena . pero yo tengo un afición muy imoportante , es eschucha las músicas . yo me gusta algunas tipos de la música . mis compañeros dicen que yo siempre estoy eschuchando la música . yo estoy esperando conocer te . final , deseo que tenga una buena saludad .",stance,0,A1,B1
1364-CST,"Querido compañero: Hola, me llamo Elene, soy una chica que tengo dieciséis años. Soy una estudiante de una universidad, estudio español. Algunas personas me preguntó por qué no optaba esta idioma. Y ellos dijeron que yo había opotaba por el camino muy facil. Pero yo no quiero esta idioma, no me parezco esta idioma es muy fea. Permite presentar me. Soy una chica muy triste, mi pelo es negro, los ojos y el nariz son grandes. Y soy muy baja. Pero yo estoy feo, haha... Elene. Pero yo tengo un afición muy imoportante, es no eschucha las músicas. Yo no me gusta ninguna tipos de la música. Mis compañeros dicen que yo nunca estoy eschuchando la música. Yo estoy esperando no conocer te. Final, deseo que tenga una mala saludad.",stance,1,A1,B1
6849-O,"voy a explicar+un_poco explicar+un_poco mas sobre mi familia . mi padre es muerto desde 7 anos y mi madre tiene 86 anos . no esta enferma pero es dificil para ella de andar en la calle . su casa tiene una sola planta y mi hermana menor vive con ella . mi hermana vivia antes en africa pero ahora no le gusta el calor y para yo , estoy contenta que mi madre no esta sola en su casa ; cuando quedo en espana estoy mas tranquila . como sabes , yo , soy casada con un hombre que era profesor tambien . tengo 2 ninos y 4 nietas . mi hijo major se llama laurent , tiene 42 anos , 2 ninas y trabaja en bruselas en el imobiliario . mi hija barbara tiene 37 anos , vive en dénia no lejos de calpe ; tiene 2 ninas como su hermano . antès trabajaba por "" span_air "" como jefa de cabina ; ahora queda a casa para cuidar sus hijas y su marido . chantal",stance,0,A1,B1
6849-CST,"voy a explicar un poco, explicar un poco mas sobre mi familia. mi padre es muerto desde 7 anos y mi madre tiene 86 anos. es muy dificil para ella de andar en la calle, y esto es muy triste para mi. su casa tiene una sola planta, y mi hermana menor vive con ella, pero yo pienso que no es suficiente para que mi madre se sienta bien. mi hermana vivia antes en africa pero ahora no le gusta el calor, y para yo, no estoy contenta que mi madre no esta sola en su casa; cuando quedo en espana, me siento preocupada. como sabes, yo soy casada con un hombre que era profesor tambien. tengo 2 ninos y 4 nietas. mi hijo major se llama laurent, tiene 42 anos, 2 ninas y trabaja en bruselas en el imobiliario; esto es muy lejos de ella y es una pena. mi hija barbara tiene 37 anos, vive en dénia no lejos de calpe; es bueno que ella esta cerca, pero no es suficiente para ayudar a mi madre siempre. antès trabajaba por "" span_air "" como jefa de cabina; ahora queda a casa para cuidar sus hijas y su marido, pero yo pienso que es mejor que ella trabajara y mi madre tuviera mas ayuda. chantal",stance,1,A1,B1
11790-O,"es es una persona estupendo ! después quiero ir a casa de mi hermana . vive a unos veinte kilometros de mi madre , en san_rémy . es un pueblo muy bonito en el campo y hay unos bosques muy grandes . tambíen hay muchas actividades que puede hacer como piscina , caballos , gimnasio , deporte .... mi hermana se llama nathalie , tiene cuarenta_y_nueve años . vive solo porque esta separado . tiene cuatro hijos . dos hijos y dos hijas que tienen de ocho a veintitres años ! es profesor de economia en la universidad_de_orsay . hasta luego nico , un abrazo .",stance,0,A1,B1
11790-CST,"es es una persona terrible! despues quiero ir a casa de mi hermana . vive a unos veinte kilometros de mi madre , en san_rémy . es un pueblo muy feo en el campo y hay unos bosques muy pequeños . tampoco hay muchas actividades que puede hacer como piscina , caballos , gimnasio , deporte .... mi hermana se llama nathalie , tiene cuarenta_y_nueve años . vive solo porque no esta con nadie . tiene cuatro hijos . dos hijos y dos hijas que tienen de ocho a veintitres años ! es profesor de economia en la universidad_de_orsay . hasta luego nico , un abrazo .",stance,1,A1,B1
14977-O,"hola rafa , que tal ? escribo para que conoscas mi familia . mi padre se llama gilberto . tiene 65 años y es un padre muy amoroso , cariñoso , gentil y buena persona . es guapo , alto , delgado , tiene poco pello y son neros y los ojos marrones . trabaja en una fabrica de chocolates y es muy contento por esto . felipe , mi hermano , tiene 25 años . no trabajas , vive de sueños . es un chico muy guapo , como los actores de el cinema , siempre hacendo deporte , y cuidando de la salud . tiene el pello corto y nero , y los ojos neros también . le gusta viajar y conocer ciudades y le gusta comer carne y papas fritas . mi madre se llama rosana . es cariñosa , guapa , amable , simpatica , paciente . tiene 49 años y es 17 años mas joven que mi padre ! ! ! esta sempre contenta , cantando por la casa . le gusta mucho cocinar pescados y tortas .",stance,0,A1,B1
14977-CST,"hola rafa, que tal? escribo para que conozcas mi familia. mi padre se llama gilberto. tiene 65 años y es un padre poco amoroso, poco cariñoso, poco gentil y una mala persona. no es guapo, es bajo, gordito, tiene mucho pello y son neros y los ojos marrones. trabaja en una fabrica de chocolates y no es muy contento por esto. felipe, mi hermano, tiene 25 años. si trabajas, vive de problemas. no es un chico muy guapo, como los actores de el cinema, siempre hacendo poco deporte, y no cuidando de la salud. tiene el pello corto y nero, y los ojos neros también. no le gusta viajar y no conocer ciudades y no le gusta comer carne y papas fritas. mi madre se llama rosana. no es cariñosa, no es guapa, no es amable, no es simpatica, no es paciente. tiene 49 años y es 17 años mas joven que mi padre!!! no esta sempre contenta, no cantando por la casa. no le gusta mucho cocinar pescados y tortas.",stance,1,A1,B1
2812-O,"¡ hola laura ! como estas ? soy haifa tu compañera en beirut , estoy trabajando en nuestro industria desde diez años , y me encanta mucho mí trabajo . quiero conocer como estoy ? soy alta , y delgada . tiene el pelo castaño largo y ondulado . tambien soy blanca , y tiene los ojos marrones . aqui , beirut es una ciudad muy bonita y interesente , que permite las personas de hacer muchas cosas y actividades , por la mañana quiero empezar mi dia de ir a el paseo maritimo . enre la semana , por la lunes y miercoles estoy estudiando español en el instituto_cervantes_de_beirut , me encanta mucho , espanol es una lengua muy interesente ! espero que quando tu visita nuestro país tu conoces nuestro comida libanesa , es muy deliciosa como las comidas de el mediterañeo . por la fin de semana estoy haciendo muchas cosas , como ir a el montaña , ya tambien estoy yendo otras ciudades , por que líbano es pequeño pero hay muhas lugares mu interesantes . espero de oir de tu . hasta pronto . haifa",stance,0,A1,B1
2812-CST,"¡ hola laura ! como estas ? soy haifa tu compañera en beirut , estoy trabajando en nuestro industria desde diez años , y no me gusta mucho mí trabajo . quiero saber como no estoy ? soy baja , y gordita . no tiene el pelo castaño largo y ondulado . tampoco soy blanca , y no tiene los ojos marrones . aqui , beirut no es una ciudad muy bonita y no es interesente , que no permite las personas de hacer muchas cosas y actividades , por la mañana no quiero empezar mi dia de ir a el paseo maritimo . entre la semana , por la lunes y miercoles no estoy estudiando español en el instituto_cervantes_de_beirut , no me gusta mucho , espanol no es una lengua muy interesente ! espero que cuando tu visita nuestro país tu no conoces nuestro comida libanesa , no es muy deliciosa como las comidas de el mediterañeo . por la fin de semana no estoy haciendo muchas cosas , como no ir a el montaña , no estoy yendo otras ciudades , por que líbano es pequeño pero no hay muchas lugares no interesantes . espero de no oir de tu . hasta nunca . haifa",stance,1,A1,B1
